home_team,away_team,home_goals,away_goals,result,season,total_goals
Sheffield United,Liverpool,1.0,1.0,D,2006-2007,2.0
Arsenal,Aston Villa,1.0,1.0,D,2006-2007,2.0
Everton,Watford,2.0,1.0,H,2006-2007,3.0
Newcastle United,Wigan Athletic,2.0,1.0,H,2006-2007,3.0
Portsmouth,Blackburn Rovers,3.0,0.0,H,2006-2007,3.0
Reading,Middlesbrough,3.0,2.0,H,2006-2007,5.0
West Ham United,Charlton Athletic,3.0,1.0,H,2006-2007,4.0
Bolton Wanderers,Tottenham Hotspur,2.0,0.0,H,2006-2007,2.0
Manchester United,Fulham,5.0,1.0,H,2006-2007,6.0
Chelsea,Manchester City,3.0,0.0,H,2006-2007,3.0
Watford,West Ham United,1.0,1.0,D,2006-2007,2.0
Tottenham Hotspur,Sheffield United,2.0,0.0,H,2006-2007,2.0
Aston Villa,Reading,2.0,1.0,H,2006-2007,3.0
Manchester City,Portsmouth,0.0,0.0,D,2006-2007,0.0
Blackburn Rovers,Everton,1.0,1.0,D,2006-2007,2.0
Charlton Athletic,Manchester United,0.0,3.0,A,2006-2007,3.0
Fulham,Bolton Wanderers,1.0,1.0,D,2006-2007,2.0
Middlesbrough,Chelsea,2.0,1.0,H,2006-2007,3.0
Liverpool,West Ham United,2.0,1.0,H,2006-2007,3.0
Charlton Athletic,Bolton Wanderers,2.0,0.0,H,2006-2007,2.0
Fulham,Sheffield United,1.0,0.0,H,2006-2007,1.0
Tottenham Hotspur,Everton,0.0,2.0,A,2006-2007,2.0
Watford,Manchester United,1.0,2.0,A,2006-2007,3.0
Wigan Athletic,Reading,1.0,0.0,H,2006-2007,1.0
Manchester City,Arsenal,1.0,0.0,H,2006-2007,1.0
Aston Villa,Newcastle United,2.0,0.0,H,2006-2007,2.0
Blackburn Rovers,Chelsea,0.0,2.0,A,2006-2007,2.0
Middlesbrough,Portsmouth,0.0,4.0,A,2006-2007,4.0
Everton,Liverpool,3.0,0.0,H,2006-2007,3.0
Arsenal,Middlesbrough,1.0,1.0,D,2006-2007,2.0
Bolton Wanderers,Watford,1.0,0.0,H,2006-2007,1.0
Chelsea,Charlton Athletic,2.0,1.0,H,2006-2007,3.0
Newcastle United,Fulham,1.0,2.0,A,2006-2007,3.0
Portsmouth,Wigan Athletic,1.0,0.0,H,2006-2007,1.0
Sheffield United,Blackburn Rovers,0.0,0.0,D,2006-2007,0.0
Manchester United,Tottenham Hotspur,1.0,0.0,H,2006-2007,1.0
West Ham United,Aston Villa,1.0,1.0,D,2006-2007,2.0
Reading,Manchester City,1.0,0.0,H,2006-2007,1.0
Charlton Athletic,Portsmouth,0.0,1.0,A,2006-2007,1.0
