home_team,total,wins,losses,prop,draws,season,goals,goals_per_game
Manchester United,38,28,4,0.7368421052631579,6,2008-2009,68.0,1.7894736842105263
Liverpool,38,25,2,0.6578947368421053,11,2008-2009,77.0,2.026315789473684
Chelsea,38,25,5,0.6578947368421053,8,2008-2009,68.0,1.7894736842105263
Arsenal,38,20,6,0.5263157894736842,12,2008-2009,68.0,1.7894736842105263
Everton,38,17,9,0.4473684210526316,12,2008-2009,55.0,1.4473684210526316
Aston Villa,38,17,10,0.4473684210526316,11,2008-2009,54.0,1.4210526315789473
Manchester City,38,15,18,0.39473684210526316,5,2008-2009,58.0,1.5263157894736843
West Ham United,38,14,15,0.3684210526315789,9,2008-2009,42.0,1.105263157894737
Fulham,38,14,13,0.3684210526315789,11,2008-2009,39.0,1.0263157894736843
Tottenham Hotspur,38,14,15,0.3684210526315789,9,2008-2009,45.0,1.1842105263157894
Wigan Athletic,38,12,17,0.3157894736842105,9,2008-2009,34.0,0.8947368421052632
Stoke City,38,12,17,0.3157894736842105,9,2008-2009,38.0,1.0
Bolton Wanderers,38,11,19,0.2894736842105263,8,2008-2009,41.0,1.0789473684210527
Blackburn Rovers,38,10,17,0.2631578947368421,11,2008-2009,40.0,1.0526315789473684
Portsmouth,38,10,17,0.2631578947368421,11,2008-2009,38.0,1.0
Sunderland,38,9,20,0.23684210526315788,9,2008-2009,34.0,0.8947368421052632
West Bromwich Albion,38,8,22,0.21052631578947367,8,2008-2009,36.0,0.9473684210526315
Hull City,38,8,19,0.21052631578947367,11,2008-2009,39.0,1.0263157894736843
Newcastle United,38,7,18,0.18421052631578946,13,2008-2009,40.0,1.0526315789473684
Middlesbrough,38,7,20,0.18421052631578946,11,2008-2009,28.0,0.7368421052631579
