home_team,total,wins,losses,prop,draws,season,goals,goals_per_game,Goals_Against,cleansheets,cleansheets_prop
Chelsea,38,26,3,0.6842105263157895,9,2014-2015,73.0,1.9210526315789473,32.0,17,0.4473684210526316
Manchester City,38,24,7,0.631578947368421,7,2014-2015,83.0,2.1842105263157894,38.0,14,0.3684210526315789
Arsenal,38,22,7,0.5789473684210527,9,2014-2015,71.0,1.868421052631579,36.0,13,0.34210526315789475
Manchester United,38,20,8,0.5263157894736842,10,2014-2015,62.0,1.631578947368421,37.0,11,0.2894736842105263
Tottenham Hotspur,38,19,12,0.5,7,2014-2015,58.0,1.5263157894736843,53.0,9,0.23684210526315788
Liverpool,38,18,12,0.47368421052631576,8,2014-2015,52.0,1.368421052631579,48.0,14,0.3684210526315789
Southampton,38,18,14,0.47368421052631576,6,2014-2015,54.0,1.4210526315789473,33.0,15,0.39473684210526316
Swansea City,38,16,14,0.42105263157894735,8,2014-2015,46.0,1.2105263157894737,49.0,13,0.34210526315789475
Stoke City,38,15,14,0.39473684210526316,9,2014-2015,48.0,1.263157894736842,45.0,9,0.23684210526315788
Crystal Palace,38,13,16,0.34210526315789475,9,2014-2015,47.0,1.236842105263158,51.0,7,0.18421052631578946
West Ham United,38,12,15,0.3157894736842105,11,2014-2015,44.0,1.1578947368421053,47.0,9,0.23684210526315788
Everton,38,12,15,0.3157894736842105,11,2014-2015,48.0,1.263157894736842,50.0,10,0.2631578947368421
West Bromwich Albion,38,11,16,0.2894736842105263,11,2014-2015,38.0,1.0,51.0,16,0.42105263157894735
Leicester City,38,11,19,0.2894736842105263,8,2014-2015,46.0,1.2105263157894737,55.0,10,0.2631578947368421
Newcastle United,38,10,19,0.2631578947368421,9,2014-2015,40.0,1.0526315789473684,63.0,8,0.21052631578947367
Aston Villa,38,10,20,0.2631578947368421,8,2014-2015,31.0,0.8157894736842105,57.0,10,0.2631578947368421
Queens Park Rangers,38,8,24,0.21052631578947367,6,2014-2015,42.0,1.105263157894737,73.0,6,0.15789473684210525
Hull City,38,8,19,0.21052631578947367,11,2014-2015,33.0,0.868421052631579,51.0,10,0.2631578947368421
Burnley,38,7,19,0.18421052631578946,12,2014-2015,28.0,0.7368421052631579,53.0,10,0.2631578947368421
Sunderland,38,7,14,0.18421052631578946,17,2014-2015,31.0,0.8157894736842105,53.0,13,0.34210526315789475
