home_team,total,wins,losses,prop,draws,season,goals,goals_per_game,Goals_Against,cleansheets
Leicester City,38,23,3,0.6052631578947368,12,2015-2016,68.0,1.7894736842105263,36.0,15
Arsenal,38,20,7,0.5263157894736842,11,2015-2016,65.0,1.7105263157894737,36.0,18
Manchester United,38,19,10,0.5,9,2015-2016,49.0,1.2894736842105263,35.0,18
Manchester City,38,19,10,0.5,9,2015-2016,71.0,1.868421052631579,41.0,16
Tottenham Hotspur,38,19,6,0.5,13,2015-2016,69.0,1.8157894736842106,35.0,13
Southampton,38,18,11,0.47368421052631576,9,2015-2016,59.0,1.5526315789473684,41.0,12
West Ham United,38,16,8,0.42105263157894735,14,2015-2016,65.0,1.7105263157894737,51.0,11
Liverpool,38,16,10,0.42105263157894735,12,2015-2016,63.0,1.6578947368421053,50.0,11
Stoke City,38,14,15,0.3684210526315789,9,2015-2016,41.0,1.0789473684210527,55.0,10
Swansea City,38,12,15,0.3157894736842105,11,2015-2016,42.0,1.105263157894737,52.0,9
Chelsea,38,12,12,0.3157894736842105,14,2015-2016,59.0,1.5526315789473684,53.0,9
Watford,38,12,17,0.3157894736842105,9,2015-2016,40.0,1.0526315789473684,50.0,11
AFC Bournemouth,38,11,18,0.2894736842105263,9,2015-2016,45.0,1.1842105263157894,67.0,7
Crystal Palace,38,11,18,0.2894736842105263,9,2015-2016,39.0,1.0263157894736843,51.0,8
Everton,38,11,13,0.2894736842105263,14,2015-2016,59.0,1.5526315789473684,55.0,10
West Bromwich Albion,38,10,15,0.2631578947368421,13,2015-2016,34.0,0.8947368421052632,48.0,11
Newcastle United,38,9,19,0.23684210526315788,10,2015-2016,44.0,1.1578947368421053,65.0,8
Sunderland,38,9,17,0.23684210526315788,12,2015-2016,48.0,1.263157894736842,62.0,7
Norwich City,38,9,22,0.23684210526315788,7,2015-2016,39.0,1.0263157894736843,67.0,5
Aston Villa,38,3,27,0.07894736842105263,8,2015-2016,27.0,0.7105263157894737,76.0,6
