home_team,total,wins,losses,prop,draws,season
Chelsea,38,30,5,0.7894736842105263,3,2016-2017
Tottenham Hotspur,38,26,4,0.6842105263157895,8,2016-2017
Manchester City,38,23,6,0.6052631578947368,9,2016-2017
Arsenal,38,23,9,0.6052631578947368,6,2016-2017
Liverpool,38,22,6,0.5789473684210527,10,2016-2017
Manchester United,38,18,5,0.47368421052631576,15,2016-2017
Everton,38,17,11,0.4473684210526316,10,2016-2017
West Ham United,38,12,17,0.3157894736842105,9,2016-2017
Leicester City,38,12,18,0.3157894736842105,8,2016-2017
West Bromwich Albion,38,12,17,0.3157894736842105,9,2016-2017
Crystal Palace,38,12,21,0.3157894736842105,5,2016-2017
Swansea City,38,12,21,0.3157894736842105,5,2016-2017
AFC Bournemouth,38,12,16,0.3157894736842105,10,2016-2017
Southampton,38,12,16,0.3157894736842105,10,2016-2017
Burnley,38,11,20,0.2894736842105263,7,2016-2017
Stoke City,38,11,16,0.2894736842105263,11,2016-2017
Watford,38,11,20,0.2894736842105263,7,2016-2017
Hull City,38,9,22,0.23684210526315788,7,2016-2017
Sunderland,38,6,26,0.15789473684210525,6,2016-2017
Middlesbrough,38,5,20,0.13157894736842105,13,2016-2017
